arrondissement,latest_exercice,seniors_beneficiaries,fountains_total,fountains_per_1000_seniors
75008,2017,767,32,41.720990873533246
75004,2017,1041,30,28.81844380403458
75016,2017,4538,107,23.57866901718819
75007,2017,1284,29,22.585669781931465
75012,2017,6175,103,16.68016194331984
75014,2017,5834,82,14.055536510113129
75005,2017,1786,25,13.997760358342665
75020,2017,10230,129,12.609970674486803
75002,2017,656,8,12.195121951219512
75006,2017,1096,13,11.861313868613138
75017,2017,5977,64,10.707712899447884
75018,2017,9514,99,10.405717889426109
75010,2017,3382,33,9.757539917208753
75003,2017,1181,11,9.314140558848433
75013,2017,9344,87,9.310787671232877
75019,2017,9800,89,9.081632653061224
75011,2017,6395,57,8.913213448006255
75009,2017,1803,14,7.76483638380477
75015,2017,8945,68,7.602012297372834
75001,2017,553,0,0.0
