arrondissement;personnes_agees;personnes_handicapees;exercice;forme_geographique;geo_point_2d
75015;9840;1855;2015;"{""coordinates"": [[[2.28977827659606, 48.8581231137605], [2.31055850961587, 48.8467733241293], [2.31662816028765, 48.8467523874689], [2.32466354462507, 48.8435180387147], [2.30131541848845, 48.8251257608331], [2.27905193065333, 48.832489952137], [2.27279319018676, 48.8279200842171], [2.26754381105017, 48.8277864187341], [2.26721191224483, 48.8315321075909], [2.26943516616923, 48.8327958456285], [2.26279152452652, 48.8339233735154], [2.28977827659606, 48.8581231137605]]], ""type"": ""Polygon""}";48.8401714342, 2.29321693746
75007;1466;121;2015;"{""coordinates"": [[[2.32077735158066, 48.8630750359323], [2.33284690006714, 48.8593009074522], [2.32862554778994, 48.8520123157451], [2.31662816028765, 48.8467523874689], [2.31055850961587, 48.8467733241293], [2.28977827659606, 48.8581231137605], [2.29951265294103, 48.8632951122884], [2.32077735158066, 48.8630750359323]]], ""type"": ""Polygon""}";48.8561051636, 2.31254406306
75009;1803;297;2017;"{""coordinates"": [[[2.32576162546975, 48.8695461334678], [2.3271206970663, 48.8834854166088], [2.33795550611185, 48.882249883367], [2.34955084012322, 48.8836201679033], [2.34783177108485, 48.8706244203262], [2.33992981056767, 48.8719373105105], [2.32576162546975, 48.8695461334678]]], ""type"": ""Polygon""}";48.8769274899, 2.33736632955
75016;5344;619;2014;"{""coordinates"": [[[2.22567029225698, 48.8594045623879], [2.23173635974686, 48.8690685816018], [2.24570378840558, 48.876459232468], [2.25541033668947, 48.8742635426679], [2.25846717111418, 48.8803872630774], [2.27994933256755, 48.8785731239734], [2.2951453922338, 48.8738619796685], [2.30155627217162, 48.8634752349574], [2.29209176843771, 48.8601918482662], [2.26279152452652, 48.8339233735154], [2.25514423841751, 48.8348095493609], [2.25170930894686, 48.838821816226], [2.25061244171616, 48.845554851203], [2.22421910588045, 48.8535169175484], [2.22567029225698, 48.8594045623879]]], ""type"": ""Polygon""}";48.8603821025, 2.26201220212
75016;5552;600;2013;"{""coordinates"": [[[2.22567029225698, 48.8594045623879], [2.23173635974686, 48.8690685816018], [2.24570378840558, 48.876459232468], [2.25541033668947, 48.8742635426679], [2.25846717111418, 48.8803872630774], [2.27994933256755, 48.8785731239734], [2.2951453922338, 48.8738619796685], [2.30155627217162, 48.8634752349574], [2.29209176843771, 48.8601918482662], [2.26279152452652, 48.8339233735154], [2.25514423841751, 48.8348095493609], [2.25170930894686, 48.838821816226], [2.25061244171616, 48.845554851203], [2.22421910588045, 48.8535169175484], [2.22567029225698, 48.8594045623879]]], ""type"": ""Polygon""}";48.8603821025, 2.26201220212
75005;2377;251;2013;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.36254835037693, 48.8474708379884], [2.36595082088096, 48.8449086592693], [2.36138703382881, 48.8398227761763], [2.35171806895176, 48.836813651144], [2.33659270717766, 48.8396905371344], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.844407753, 2.350655453
75017;7385;1200;2014;"{""coordinates"": [[[2.31988717474414, 48.900459782082], [2.32998052204671, 48.9011632821189], [2.3260974369951, 48.8891112625569], [2.3271206970663, 48.8834854166088], [2.29834363574269, 48.8781328519077], [2.2951453922338, 48.8738619796685], [2.27994933256755, 48.8785731239734], [2.28232721114983, 48.8839231750196], [2.28566999320425, 48.8865737188509], [2.31988717474414, 48.900459782082]]], ""type"": ""Polygon""}";48.8872660268, 2.30686780021
75002;802;119;2013;"{""coordinates"": [[[2.34783177108485, 48.8706244203262], [2.35411149265971, 48.8692752858867], [2.35084132055631, 48.8633444115649], [2.32787336218608, 48.8698610889494], [2.33992981056767, 48.8719373105105], [2.34783177108485, 48.8706244203262]]], ""type"": ""Polygon""}";48.8683234515, 2.3432977179
75004;1252;183;2013;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.35009126441938, 48.8619517498143], [2.36840857217282, 48.855737300041], [2.36901963711685, 48.8532214407367], [2.36431803561907, 48.8461671913211], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8542262543, 2.35736312527
75011;6908;1184;2015;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.39430044202936, 48.8564917114741], [2.39911844487259, 48.8480944847273], [2.36901963711685, 48.8532214407367], [2.36664249248927, 48.8631170046771], [2.36385133901257, 48.8674316382724], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8593266337, 2.37986086805
75009;2231;291;2013;"{""coordinates"": [[[2.32576162546975, 48.8695461334678], [2.3271206970663, 48.8834854166088], [2.33795550611185, 48.882249883367], [2.34955084012322, 48.8836201679033], [2.34783177108485, 48.8706244203262], [2.33992981056767, 48.8719373105105], [2.32576162546975, 48.8695461334678]]], ""type"": ""Polygon""}";48.8769274899, 2.33736632955
75010;3589;763;2015;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.37021022590368, 48.8825821813927], [2.37034309079403, 48.8779090608478], [2.37701535209984, 48.871921129272], [2.36385133901257, 48.8674316382724], [2.34783177108485, 48.8706244203262], [2.34955084012322, 48.8836201679033], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8759734307, 2.36068494701
75007;1349;122;2016;"{""coordinates"": [[[2.32077735158066, 48.8630750359323], [2.33284690006714, 48.8593009074522], [2.32862554778994, 48.8520123157451], [2.31662816028765, 48.8467523874689], [2.31055850961587, 48.8467733241293], [2.28977827659606, 48.8581231137605], [2.29951265294103, 48.8632951122884], [2.32077735158066, 48.8630750359323]]], ""type"": ""Polygon""}";48.8561051636, 2.31254406306
75018;11019;1913;2014;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.33795550611185, 48.882249883367], [2.3271206970663, 48.8834854166088], [2.32575714183504, 48.8869545567691], [2.32998052204671, 48.9011632821189], [2.3702905140491, 48.9016535952765], [2.36980824223766, 48.8933764506353], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8923628559, 2.34785432498
75013;10992;1988;2014;"{""coordinates"": [[[2.36595082088096, 48.8449086592693], [2.39007201451133, 48.8256923268112], [2.36394655019101, 48.8163142100251], [2.34390250474415, 48.8157670012883], [2.34441820366695, 48.8195940074234], [2.34149377223358, 48.8285681240667], [2.34203846359475, 48.8382969179241], [2.35308011410299, 48.8371726778218], [2.36138703382881, 48.8398227761763], [2.36595082088096, 48.8449086592693]]], ""type"": ""Polygon""}";48.8283577313, 2.36214011885
75010;4022;748;2014;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.37021022590368, 48.8825821813927], [2.37034309079403, 48.8779090608478], [2.37701535209984, 48.871921129272], [2.36385133901257, 48.8674316382724], [2.34783177108485, 48.8706244203262], [2.34955084012322, 48.8836201679033], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8759734307, 2.36068494701
